FROM_NODE|TO_NODE|BILL_NO|BILL_DATE|PRODUCT_ID|QUANTITY|START_SERIAL|END_SERIAL|EXPIRY_DATE|ICCID/ADNL_SN_1|MSISDN/ADNL_SN_2|IMSI/ADNL_SN_3|ADNL_SN_4

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12318     SERIAL_LENGTH  :   0   PRD_SL  : 0    PRD_SL_TYPE  : undefined
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL20191210101|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210102|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210103|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210104|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210105|05-12-2019|12318|10|||12-12-2099||||

20|303579|VBILL20191210111|05-12-2019|12318|10|||12-12-2099||||
|303579|VBILL20191210112|05-12-2019|12318|10|||12-12-2099||||
20||VBILL20191210113|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL20191210114|05-12-2019||10|||12-12-2099||||
20|303579|VBILL20191210115|05-12-2019|12318|10|||12-11-2019||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12353     SERIAL_LENGTH  :   15     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO undefined 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL20191210101|05-12-2019|12353|1|988880000000B01|988880000000B01|12-12-2099||||
20|303579|VBILL20191210102|05-12-2019|12353|1|988880000000B11|988880000000B11|12-12-2099||||
20|303579|VBILL20191210103|05-12-2019|12353|1|988880000000B21|988880000000B21|12-12-2099||||
20|303579|VBILL20191210104|05-12-2019|12353|1|988880000000B31|988880000000B31|12-12-2099||||
20|303579|VBILL20191210105|05-12-2019|12353|1|988880000000B41|988880000000B41|12-12-2099||||

20|303579|VBILL20191212101|05-12-2019|12353|1|988880000000B01|988880000000b01|12-12-2099||||
20|303579|VBILL20191212102|05-12-2019||1|988880000000b11|988880000000b11|12-12-2099||||
20||VBILL20191212103|05-12-2019|12353|1|988880000000b21|988880000000b21|12-12-2099||||
20|632|VBILL20191212104|05-12-2019|12353|1|988880000000b31|988880000000b31|12-12-2099||||
20|303579|VBILL20191212105|05-12-2019|7834|1|988880000000b41|988880000000b41|12-12-2099||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12362     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ empty ]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL20191210101|05-12-2019|12362|1|977770000000000B01|977770000000000B01|12-12-2099||||
20|303579|VBILL20191210102|05-12-2019|12362|1|977770000000000B11|977770000000000B11|12-12-2099||||
20|303579|VBILL20191210103|05-12-2019|12362|1|977770000000000B21|977770000000000B21|12-12-2099||||
20|303579|VBILL20191210104|05-12-2019|12362|1|977770000000000B31|977770000000000B31|12-12-2099||||
