FROM_NODE|TO_NODE|BILL_NO|BILL_DATE|PRODUCT_ID|QUANTITY|START_SERIAL|END_SERIAL|EXPIRY_DATE|ICCID/ADNL_SN_1|MSISDN/ADNL_SN_2|IMSI/ADNL_SN_3|ADNL_SN_4

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12318     SERIAL_LENGTH  :   0   PRD_SL  : 0    PRD_SL_TYPE  : undefined
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL020191210101|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL020191210102|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL020191210103|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL020191210104|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL020191210105|05-12-2019|12318|10|||12-12-2099||||

20|303579|VBILL020191210111|05-12-2019|12318|10|||12-12-2099||||
|303579|VBILL020191210112|05-12-2019|12318|10|||12-12-2099||||
20||VBILL020191210113|05-12-2019|12318|10|||12-12-2099||||
20|303579|VBILL020191210114|05-12-2019||10|||12-12-2099||||
20|303579|VBILL020191210115|05-12-2019|12318|10|||12-11-2019||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12353     SERIAL_LENGTH  :   15     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO undefined 
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL020191210101|05-12-2019|12353|1|988880000000C01|988880000000C01|12-12-2099||||
20|303579|VBILL020191210102|05-12-2019|12353|1|988880000000C11|988880000000C11|12-12-2099||||
20|303579|VBILL020191210103|05-12-2019|12353|1|988880000000C21|988880000000C21|12-12-2099||||
20|303579|VBILL020191210104|05-12-2019|12353|1|988880000000C31|988880000000C31|12-12-2099||||
20|303579|VBILL020191210105|05-12-2019|12353|1|988880000000C41|988880000000C41|12-12-2099||||

20|303579|VBILL020191212101|05-12-2019|12353|1|988880000000C01|988880000000c01|12-12-2099||||
20|303579|VBILL020191212102|05-12-2019||1|988880000000c11|988880000000c11|12-12-2099||||
20||VBILL020191212103|05-12-2019|12353|1|988880000000c21|988880000000c21|12-12-2099||||
20|632|VBILL020191212104|05-12-2019|12353|1|988880000000c31|988880000000c31|12-12-2099||||
20|303579|VBILL020191212105|05-12-2019|7834|1|988880000000c41|988880000000c41|12-12-2099||||

----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
--  PRODUCT_ID :  12362     SERIAL_LENGTH  :   18     PRD_SL  : 1    PRD_SL_TYPE  : 0    ADDNL_SL_INFO [ empty ]
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------

20|303579|VBILL020191210101|05-12-2019|12362|1|977770000000000C01|977770000000000C01|12-12-2099||||
20|303579|VBILL020191210102|05-12-2019|12362|1|977770000000000C11|977770000000000C11|12-12-2099||||
20|303579|VBILL020191210103|05-12-2019|12362|1|977770000000000C21|977770000000000C21|12-12-2099||||
20|303579|VBILL020191210104|05-12-2019|12362|1|977770000000000C31|977770000000000C31|12-12-2099||||
