SCHEDULEDATETIME|VIsitDatetime|Channel|Region|Area|Sales Area|Cluster|Micro Cluster|Additional Territory|TerritoryID|VISIT_TYPE|BeatPlanID|BeatPlanName|VisitorOrgType|VisitorORGID|VisitorSaldoMOBO Org ID|VisitorOrgName|VisitedOrgType|VisitedORGID|VisitedSaldoMOBO Org ID|VisitedOrgName|VisitedOrg Address|OperatorType|OperatorId|UserName|Operator Full Name|StartDateTime|EndDatetime|Time On Beat|Comments|Planned Distance(in KM)|Activity Name|Activity Status|PRODUCT_CATEGORY|PRODUCT_BRAND|PRODUCT_CODE|PRODUCT_NAME|Total Sales Qty|Total Sales Value|Org Location|Activity Location|Deviation Distance(in KM)|Reason
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Sell In|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Sell Out|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Stock Transfer|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Capture Organization Lat Longs|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Close Payment|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Capture Organization Image|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Capture Dual Image|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Socialization Messages|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|View  Beat Retailer Stock|Initiated||||||||||
26-Jan-2020 07:00:00||Traditional|Central AND West Java|CENTRAL JAVA|KUDUS|CW-CJA-BLOREMPATIGRO|MC-BLOREM||micro191||3951|sjbdkjsb|Dealer|50475|05123423|ldealer|Outlet|58025|17000814|Daily1212new|21CIBEBER,CILEGON,BANTEN|Canvasser_New|lcan1|LCAN1|lcan1|||||0.0|Balance Transfer|Initiated||||||||||
