Date|Region|HOR Name|Area|HOS Name|Sales Area|SAM Name|CSM Name|CSO Name|SSO|SSO 3+|Daily SSO|URO|URO  20K+|Daily URO|MOBO sellin >=50K
20200301||||||||Opr190104007|||||||
20200301|REGIONAL-HR||AREA-HR|||||MP-CANV01|||||||
20200301|Central and West Java||CENTRAL JAVA1||New-KUDUS|sam2||GCAN001|||||||
20200301||||||||mp-dealer001|||||||
20200301||||||||NKCAN|||||||
20200301||||||||NKCAN2|||||||
20200301||||||||ARISTOCAN1|||||||
20200301|Central and West Java||CENTRAL JAVA1||ASIA AFRIKA|||ARISTOCAN3|||||||
20200301||||||||GIRICAN002|||||||
20200301||||||||GCAN003|||||||
20200301||||||||newUser100|||||||
20200301||||||||GCAN004|||||||
20200301||||||||newuser101|||||||
20200301||||||||testcanvasser1|||||||
20200301||||||||testcan2|||||||
20200301||||||||user101|||||||
20200301||||||||user102|||||||
20200301||||||||csmanager1|||||||
20200301||||||||vcanvasser|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||vcanvasser1|||||||
20200301||||||||USERTHREE USERTHREE|||||||
20200301|Central and West Java||CENTRAL JAVA1||New-KUDUS|SAMTEST||CANVASSERONE CANVASSERONE|||||||
20200301||||||||LT Canvasser|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||sanjeevcanv|||||||
20200301||||||||Rajesh|||||||
20200301|Central and West Java||CENTRAL JAVA1||New-KUDUS|SAMTEST||canvassertwo|||||||
20200301||||||||DealerUser1012 DealerUser1012|||||||
20200301||||||||outletuser1011|||||||
20200301|Central and West Java||CENTRAL JAVA1||New-KUDUS|SAMTEST||canvasser1|||||||
20200301||||||||TESTU001|||||||
20200301||||||||abhi|||||||
20200301||||||||ambu|||||||
20200301||||||||anup|||||||
20200301||||||||Anu|||||||
20200301||||||||anupa|||||||
20200301||||||||anupma|||||||
20200301||||||||secparty|||||||
20200301||||||||canvassertst|||||||
20200301||||||||PrdMapping|||||||
20200301||||||||PrdMapping|||||||
20200301||||||||cansep|||||||
20200301||||||||CANONE status one p|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||Vineetha|||||||
20200301||||||||lcan|||||||
20200301||||||||anu|||||||
20200301||||||||anu|||||||
20200301||||||||Vineetha|||||||
20200301||||||||Vineetha|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||VcanNew|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||Rcan1 Rcan1|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||Rcan2|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||Rcan3|||||||
20200301||||||||RCan4|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||Rcan5 Rcan|||||||
20200301||||||||RCan6|||||||
20200301||||||||anu|||||||
20200301||||||||Vineetha|||||||
20200301||||||||anu|||||||
20200301||||||||anu|||||||
20200301||||||||Vineetha|||||||
20200301||||||||canvasser2|||||||
20200301|Central and West Java||CENTRAL JAVA1||New-KUDUS|SAMTEST||TESTCAN|||||||
20200301||||||||CAN27|||||||
20200301||||||||CAN1227|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||CAN122700|||||||
20200301||||||||canvasserNode|||||||
20200301||||||||CAN17 ytedyu|||||||
20200301||||||||can22|||||||
20200301|Central and West Java||CENTRAL JAVA1||KUDUS|RSAMONE||canvasser22|||||||
20200301||||||||williams|||||||
20200301||||||||dheeraj|||||||
20200301||||||||diyyala|||||||
20200301||||||||simbu|||||||
20200301||||||||Duser|||||||
20200301||||||||Dorg21|||||||
20200301||||||||naveencan|||||||
20200301||||||||rohitCanvasser|||||||
20200301||||||||rohitCanvasser|||||||
20200301||||||||rohitCanvasser|||||||
20200301||||||||RohitCanvassar|||||||
20200301||||||||CanFeb01|||||||
20200301||||||||dealertest08|||||||
20200301||||||||dealertest07|||||||
